Fecha,Zona,PM2.5,NO₂,SO₂,CO,PM10,O3,CO2,Temp,Viento,Humedad
2025-05-01,Carapungo,22.5,30.1,5.2,0.7,45.7,65.2,400.0,14.3,11.2,72
2025-05-02,Carapungo,24.1,32.3,5.5,0.8,47.3,63.8,405.0,14.6,11.0,74
2025-05-03,Carapungo,26.0,34.8,5.7,0.8,49.1,61.5,410.0,14.8,10.5,75
2025-05-04,Carapungo,28.3,37.2,6.0,1.0,51.0,60.2,417.0,15.0,10.2,76
2025-05-05,Carapungo,21.4,29.5,4.9,0.6,43.0,59.1,395.0,13.9,10.1,77
2025-05-06,Carapungo,23.9,31.7,5.4,0.7,45.9,57.3,402.0,14.2,9.9,74
2025-05-07,Carapungo,25.7,33.9,5.8,0.9,49.4,60.0,408.0,14.6,10.0,75
2025-05-08,Carapungo,27.6,36.4,6.1,1.0,52.2,62.7,412.0,15.1,10.5,73
2025-05-09,Carapungo,29.1,38.7,6.3,1.1,53.7,64.1,418.0,15.3,11.0,70
2025-05-10,Carapungo,30.2,40.5,6.5,1.2,55.1,66.3,420.0,15.6,11.4,72
2025-05-11,Carapungo,21.6,28.6,4.6,0.5,41.9,55.2,390.0,13.6,10.0,78
2025-05-12,Carapungo,23.4,30.8,5.0,0.6,44.1,58.7,396.0,14.1,9.8,76
2025-05-13,Carapungo,25.2,33.0,5.3,0.8,46.8,61.0,402.0,14.7,10.1,74
2025-05-14,Carapungo,27.5,35.3,5.9,0.9,49.6,63.5,410.0,15.0,10.6,72
2025-05-15,Carapungo,29.3,38.6,6.4,1.1,52.0,65.1,415.0,15.4,10.9,71
2025-05-16,Carapungo,22.0,31.5,5.1,0.7,44.9,60.3,398.0,14.2,10.3,75
2025-05-17,Carapungo,24.7,33.9,5.6,0.9,47.5,62.6,405.0,14.8,10.7,73
2025-05-18,Carapungo,26.9,36.1,5.8,1.0,49.8,64.8,412.0,15.1,11.0,72
2025-05-19,Carapungo,28.6,38.4,6.2,1.1,52.1,66.2,418.0,15.3,11.3,70
2025-05-20,Carapungo,30.0,40.6,6.5,1.2,54.3,68.5,422.0,15.7,11.5,68
2025-05-21,Carapungo,23.0,30.0,5.0,0.6,44.0,59.0,395.0,14.0,9.9,76
2025-05-22,Carapungo,25.0,33.0,5.4,0.7,46.0,61.5,400.0,14.5,10.2,75
2025-05-23,Carapungo,27.2,36.0,5.9,0.9,48.5,63.9,407.0,14.9,10.6,73
2025-05-24,Carapungo,28.9,39.0,6.3,1.1,51.0,66.2,415.0,15.3,11.0,70
2025-05-25,Carapungo,30.5,41.2,6.6,1.3,53.2,68.8,425.0,15.6,11.4,69
2025-05-26,Carapungo,21.8,28.5,4.7,0.5,42.0,56.0,388.0,13.7,9.5,79
2025-05-27,Carapungo,23.6,30.4,5.1,0.6,44.5,58.2,394.0,14.1,9.9,77
2025-05-28,Carapungo,25.5,32.8,5.5,0.8,47.0,60.5,401.0,14.6,10.1,75
2025-05-29,Carapungo,27.7,35.2,5.8,0.9,49.3,63.1,408.0,14.9,10.4,73
2025-05-30,Carapungo,29.6,38.0,6.1,1.1,51.9,65.3,414.0,15.2,10.8,71
2025-05-31,Carapungo,22.3,29.6,4.9,0.6,43.3,57.0,392.0,13.9,9.8,78
2025-06-01,Carapungo,24.2,31.9,5.3,0.7,45.8,59.7,399.0,14.3,10.0,76
2025-06-02,Carapungo,26.1,34.2,5.6,0.9,48.2,61.8,405.0,14.7,10.5,74
2025-06-03,Carapungo,28.4,36.5,6.0,1.0,50.6,64.1,412.0,15.0,10.9,73
2025-06-04,Carapungo,30.1,39.0,6.3,1.2,53.0,66.6,420.0,15.3,11.2,71
2025-06-05,Carapungo,21.5,28.0,4.6,0.5,41.0,55.5,386.0,13.6,9.6,79
2025-06-06,Carapungo,23.3,30.1,5.0,0.7,43.7,58.0,393.0,14.0,9.9,77
2025-06-07,Carapungo,25.0,32.3,5.2,0.8,45.9,60.2,397.0,14.4,10.0,75
2025-06-08,Carapungo,27.3,35.0,5.8,0.9,48.5,62.6,405.0,14.9,10.5,73
2025-06-09,Carapungo,29.0,37.7,6.2,1.1,51.0,65.2,410.0,15.2,10.9,72
2025-06-10,Carapungo,22.4,29.0,4.8,0.6,43.0,56.0,390.0,13.8,9.5,78
2025-06-11,Carapungo,24.3,31.3,5.2,0.7,45.6,58.7,396.0,14.2,10.1,76
2025-06-12,Carapungo,26.6,34.0,5.7,0.9,48.3,61.3,403.0,14.7,10.5,74
2025-06-13,Carapungo,28.8,36.7,6.1,1.0,50.7,63.9,410.0,15.0,10.9,72
2025-06-14,Carapungo,30.4,39.5,6.4,1.2,53.1,66.4,418.0,15.4,11.2,70
2025-06-15,Carapungo,21.7,28.4,4.7,0.5,42.5,55.3,384.0,13.5,9.3,80
2025-06-16,Carapungo,23.9,30.9,5.0,0.6,44.8,58.1,390.0,13.9,9.8,78
2025-06-17,Carapungo,25.8,33.4,5.4,0.8,47.0,60.0,398.0,14.4,10.0,75
2025-06-18,Carapungo,28.0,36.2,5.9,1.0,49.6,62.5,405.0,14.7,10.4,72
2025-06-19,Carapungo,29.9,38.8,6.2,1.1,52.1,65.0,412.0,15.1,10.8,70
2025-06-20,Carapungo,22.6,29.3,4.8,0.6,43.2,56.8,388.0,13.7,9.6,78
2025-06-21,Carapungo,24.1,31.5,5.1,0.7,45.5,59.2,394.0,14.1,10.0,76
2025-06-22,Carapungo,26.3,34.1,5.5,0.8,48.1,61.8,401.0,14.6,10.3,74
2025-06-23,Carapungo,28.5,36.8,6.0,1.0,50.4,64.0,408.0,15.0,10.7,72
